country_name,indicator_name,sex,age_group,age_categories,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Taiwan,Unemployment rate by sex and age,Male,25+,Adults,3.584,3.38,3.547,3.374,3.269,3.182,3.283,3.298,3.134,3.197,3.191
Tajikistan,Unemployment rate by sex and age,Male,25+,Adults,6.012,5.755,5.475,5.682,5.717,5.729,5.948,6.016,5.78,5.691,5.779
Tanzania,Unemployment rate by sex and age,Male,25+,Adults,0.981,0.987,1.027,1.071,1.138,1.22,1.51,1.578,1.332,1.284,1.254
Thailand,Unemployment rate by sex and age,Male,25+,Adults,0.319,0.334,0.365,0.466,0.43,0.387,0.703,0.793,0.533,0.458,0.412
Timor-Leste,Unemployment rate by sex and age,Male,25+,Adults,1.607,1.534,1.445,1.439,1.427,1.372,1.517,1.562,1.115,1.067,1.025
Togo,Unemployment rate by sex and age,Male,25+,Adults,2.367,2.49,3.018,3.614,3.654,3.679,4.186,4.48,3.767,3.65,3.597
Tonga,Unemployment rate by sex and age,Male,25+,Adults,1.096,1.156,1.162,1.212,1.284,1.239,1.66,1.328,1.456,1.396,1.358
Trinidad and Tobago,Unemployment rate by sex and age,Male,25+,Adults,1.779,1.591,2.486,2.572,2.573,2.514,3.111,2.833,2.319,2.153,2.031
Tunisia,Unemployment rate by sex and age,Male,25+,Adults,7.722,9.379,9.332,9.354,9.542,10.662,11.962,11.916,11.337,11.218,11.108
Turkmenistan,Unemployment rate by sex and age,Male,25+,Adults,4.176,4.326,4.459,4.654,4.725,4.76,5.366,5.271,4.857,4.826,4.926
Turkey,Unemployment rate by sex and age,Male,25+,Adults,7.458,7.691,8.005,7.699,7.914,10.386,10.48,9.09,7.552,6.977,7.223
Uganda,Unemployment rate by sex and age,Male,25+,Adults,1.37,1.568,1.761,2.068,1.956,1.831,2.595,2.368,1.895,1.809,1.753
Ukraine,Unemployment rate by sex and age,Male,25+,Adults,9.524,8.843,9.617,10.301,9.442,7.882,9.073,8.933,0,0,0
United Arab Emirates,Unemployment rate by sex and age,Male,25+,Adults,0.912,0.791,0.687,0.855,0.93,1.068,3.3,1.927,1.958,1.871,1.804
United Kingdom,Unemployment rate by sex and age,Male,25+,Adults,4.372,3.76,3.419,3.092,2.858,2.643,3.328,3.865,2.655,3.181,3.558
United States of America,Unemployment rate by sex and age,Male,25+,Adults,4.988,4.253,3.973,3.53,3.155,2.912,6.794,4.739,2.952,3.063,3.257
United States Virgin Islands,Unemployment rate by sex and age,Male,25+,Adults,9.941,9.989,9.965,9.856,10.052,10.026,11.822,11.444,10.466,9.807,9.29
Uruguay,Unemployment rate by sex and age,Male,25+,Adults,2.877,3.753,3.941,3.983,4.09,4.331,5.355,4.58,4.319,4.922,4.657
Uzbekistan,Unemployment rate by sex and age,Male,25+,Adults,3.929,4.057,4.144,4.803,4.127,3.417,3.212,3.499,2.731,2.61,2.594
Vanuatu,Unemployment rate by sex and age,Male,25+,Adults,2.762,2.785,2.75,2.727,2.706,2.731,2.486,2.8,2.593,2.575,2.527
Venezuela,Unemployment rate by sex and age,Male,25+,Adults,5.093,4.729,4.319,3.408,4.092,4.715,6.545,6.014,4.687,4.781,4.263
Vietnam,Unemployment rate by sex and age,Male,25+,Adults,0.707,1.105,1.068,1.101,0.687,1.071,1.18,1.881,1.092,1.136,1.223
Yemen,Unemployment rate by sex and age,Male,25+,Adults,8.398,11.705,12.169,12.396,11.732,11.541,12.301,12.781,11.981,11.961,11.904
Zambia,Unemployment rate by sex and age,Male,25+,Adults,5.136,5.341,5.469,5.612,3.796,4.026,3.934,3.558,2.833,2.696,2.621
